games	name	rating	years
288	ATAKISI, Umut	2441	1994-2014
71	ANURAG, Mhamal	2442	2008-2014
40	ARDELEANU, Alin	2443	1992-2012
32	AJRAPETIAN, Gevorg	2443	2009-2012
80	ADAIR, James R	2443	2007-2014
38	AGUETTAZ, Maxime	2443	2003-2015
717	AVERBAKH, Yuri	2445	1939-2007
44	AKSELROD, Vladislav	2446	2001-2012
67	ABEL, Dennes	2446	2008-2015
87	AHLANDER, Bjorn	2446	1988-2015
33	ALMEYRA, Jorge Sanchez	2447	1987-2001
110	AMURA, Claudia Noemi	2447	1988-2014
179	ALEXANDROVA, Olga	2449	1999-2014
29	ARAB, Adlane	2449	2000-2012
38	ASANOV, Bolat	2449	1980-1994
71	APONTE, Felix Jose Ynojosa	2455	2008-2014
53	ARENAS, David	2455	2008-2012
123	ANIKAEV, Yuri N	2455	1967-1990
33	ANAGNOSTOPOULOS, Dimitrios	2456	1989-2002
257	ARLANDI, Ennio	2458	1981-2014
245	AGOPOV, Mikael	2459	1990-2014
83	ALTOUNIAN, Levon	2465	1995-2014
73	ANIC, Darko	2469	1988-2008
276	ADAMSKI, Jan	2470	1962-2012
83	ANDONOV, Bogomil	2475	1981-2009
101	ANNABERDIEV, Meilis	2476	2001-2012
94	DE ACUNA, Jose Luis Vilela	2480	1972-2010
64	DE AZUA, Ernesto Real	2482	2003-2012
45	AKHMETOV, Artiom	2483	2000-2012
100	ABDELNABBI, Imed	2484	1984-2015
377	AMBROZ, Jan	2485	1973-1995
103	ANKA, Emil	2487	1988-2007
134	ASHWIN, Jayaram	2488	2005-2014
166	ADDISON, William G	2490	1955-1970
94	ARSOVIC, Zoran	2490	1989-2013
122	ARNAUDOV, G Petar	2492	2006-2014
73	ATABAYEV, Maksat	2493	2005-2015
393	AKESSON, Ralf	2494	1979-2015
55	AZALADZE, Shota	2499	2001-2013
112	ANDERSON, John	2500	2001-2015
135	ARBAKOV, Valentin	2500	1966-2003
216	ANDERSEN, Mads	2501	2006-2015
80	AIRAPETIAN, Gor	2502	2008-2015
121	ACOSTA, Bernal Gonzalez	2502	1978-2014
42	AGARAGIMOV, Djakhangir	2502	2003-2012
93	ATLAS, Valery	2503	1990-2014
89	ANNAGELDYEV, Orazly	2503	1987-2012
86	ARZUMANIAN, Georgy	2504	1999-2007
89	ARSOVIC, Goran	2504	1989-2012
74	ALONSO, Alejandro Franco	2504	2001-2014
80	ARAVINDH, Chithambaram V R	2504	2011-2014
103	ALAVKIN, Arseny	2504	1997-2012
47	AKBAEV, Kazbek	2504	2001-2013
635	ARAKHAMIA-GRANT, Ketevan	2506	1986-2015
72	ANKIT, R Rajpara	2511	2008-2015
87	AKSHAYRAJ, Kore	2512	2002-2014
89	ALEKSEENKO, Kirill	2513	2008-2014
117	ANDREEV, Eduard	2514	1994-2014
71	ADLA, Diego Gustavo	2514	1988-2015
42	AGHASARYAN, Robert	2516	2004-2014
57	AGHAMALIYEV, Cemil	2523	1991-2012
148	ANTIC, Dejan	2523	1988-2013
286	ABRAMOVIC, Bosko	2524	1977-2013
153	ALONSO, Salvador	2524	1999-2014
51	ARDELEAN, George-Catalin	2526	1999-2013
36	ANNAKOV, Babakouly	2527	1991-2004
43	ACOSTA, Diasmany Otero	2527	1996-2012
